nome_prodotto,prezzo,link,sesso,categoria,sku,taglie,colore,materiale e composizione,descrizione,brand,fascia_prezzo
"Sneakers con zeppa Gianna rosa, vegane ecologiche",90.99,https://www.privatoeco.com//products/sneakers-con-zeppa-gianna-rosa-vegane-ecologiche,donna,Sneakers,SGR6,36 - 41,rosa,Sneakers realizzate in cotone naturale e stampa floreale.Fodera in cotone naturale.Suola in TR riciclato ultra-light e juta naturale.Sottopiede morbido extrasoft.Imballaggio ecologico.Cartolina piantabile.Approvato PETA.Made in Italy.,Sneakers color rosa antico in cotone e canapa naturale.Fodera in cotone naturale. Suola in TR riciclato ultra-light e juta naturale. Sottopiede morbido extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"80–99,99€"
"Sneakers con zeppa Gianna floreale, vegane ecologiche",90.99,https://www.privatoeco.com//products/sneakers-con-zeppa-gianna-floreale-vegane-ecologiche,donna,Sneakers,SGF6,36 - 41,floreale,Sneakers realizzate in cotone naturale e stampa floreale.Fodera in cotone naturale.Suola in TR riciclato ultra-light e juta naturale.Sottopiede morbido extrasoft.Imballaggio ecologico.Cartolina piantabile.Approvato PETA.Made in Italy.,Sneakers realizzate in cotone naturale e stampa floreale.Fodera in cotone naturale. Suola in TR riciclato ultra-light e juta naturale. Sottopiede morbido extrasoft.Imballaggio ecologico. Cartolina piantabile. Made in Italy.,Privato,"80–99,99€"
"Sneakers Save the ocean bianco celeste, vegane ecologiche",87.99,https://www.privatoeco.com//products/sneakers-save-the-ocean-bianco-celeste-vegane-ecologiche,donna,Sneakers,SVC6,36 - 41,celeste,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 2,5 cm. Imballaggio ecologico. 100% Made in Italy .",Privato,"80–99,99€"
"Sneakers Chiara Elisa bianco nude, vegane ecologiche",97.99,https://www.privatoeco.com//products/sneakers-save-the-ocean-bianco-nero-vegane-ecologiche,donna,Sneakers,SCER6,36 - 42,nude,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Bianche con inserto rosa nude. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 3 cm. Imballaggio ecologico. 100% Made in Italy .",Privato,"80–99,99€"
"Sneakers Lauren bianco nero, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-nero-vegane-ecologiche,donna,Sneakers,SLBN6,36 - 41,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy . Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco latte, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-latte-vegane-ecologiche,donna,Sneakers,SLL6,36 - 41,latte,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy. Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci""dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5 cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco beige, vegane ecologiche",127.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-beige-vegane-ecologiche,donna,Sneakers,SLBG6,36 - 41,beige,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy. Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5 cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco verde, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-verde-vegane-ecologiche,donna,Sneakers,SLV6,36 - 41,verde,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy . Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco lilla, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-lilla-vegane-ecologiche,donna,Sneakers,SLLL6,36 - 41,lilla,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy. Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5 cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco oro, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-oro-vegane-ecologiche,donna,Sneakers,SLO6,36 - 41,oro,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy . Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco arancio, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-arancio-vegane-ecologiche,donna,Sneakers,SLAR6,36 - 41,arancio,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy. Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5 cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Lauren bianco jeans, vegane ecologiche",128.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-jeans-vegane-ecologiche,donna,Sneakers,SLJ6,36 - 41,jeans,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy . Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Appleskin bianco silver, vegane ecologiche",99.99,https://www.privatoeco.com//products/sneakers-appleskin-bianco-silver-vegane-ecologiche,donna,Sneakers,APPL6,36 - 36,silver,Tomaia: 20% poliestere 16% cotone 38% poliuretano 26% apple wasteFodera: 20% bio poliestere 80% puSuola: TR riciclabile altezza 4cm - conforme alle normative REACHCartellino: piantabile con semi di lavandaPackaging: carta riciclabile,"Sneakers realizzate in Appleskin,un materiale sostenibile ottenuto dal recupero degli scarti delle bucce delle mele prodotte in Trentino. Bianche con inserto laminato silver. Fodera in bio PU. Suola riciclabile alta 4cm conforme alla Normativa Europea Reach. Imballaggio ecologico. 100% Made in Italy.",Privato,"80–99,99€"
"Sneakers Lauren bianco argento, vegane ecologiche",124.99,https://www.privatoeco.com//products/sneakers-lauren-bianco-argento-vegane-ecologiche,donna,Sneakers,SLA6,36 - 41,argento,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: gomma leggera altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers morbide e leggere con lacci effetto peluche 100% Made in Italy. Divertiti ad abbinare i tuoi lacci preferiti nella sezione ""lacci"" dello shop. Calzata regolare, si consiglia una taglia standard. Scarpe realizzate in materiale riciclato e scampoli di scarti di produzioni passate. Fodera peluche in 100% cotone naturale traspirante ed assorbente, per questo motivo ideali per qualsiasi stagione. Suola in gomma ultraleggera color latte alta 3,5 cm. Sottopiede anatomico estraibile con tacco 1,5cm. Ricamo laterale tono su tono, e stampa logo frontale silver. Prodotte eticamente in Italia da una fabbrica a conduzione familiare.",Privato,>=120€
"Sneakers Chiara Elisa nero, vegane ecologiche",95.99,https://www.privatoeco.com//products/sneakers-chiara-elisa-nero-vegane-ecologiche,donna,Sneakers,SCEN6,36 - 42,nero,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Nere con inserto bianco. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 3 cm. Imballaggio ecologico. 100% Made in Italy .",Privato,"80–99,99€"
"Sneakers Chiara Rita giallo, vegane ecologiche",64.99,https://www.privatoeco.com//products/sneakers-chiara-rita-giallo-vegane-ecologiche,donna,Sneakers,SRG6,36 - 41,giallo,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Giallo con inserto bianco. Tomaia tinta con coloranti ad acqua, effetto vintage. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 3 cm. Imballaggio ecologico. 100% Made in Italy.",Privato,"<79,99€"
"Sneakers Chiara Rita rosa, vegane ecologiche",64.99,https://www.privatoeco.com//products/sneakers-chiara-rita-rosa-vegane-ecologiche,donna,Sneakers,SRR6,36 - 41,rosa,Tomaia: 42% PES riciclato 58% PU senza DMFFodera: 100% cotone naturaleSuola: TR riciclato (pre-consumo) - altezza 2.5cmEtichetta: carta riciclataScatola da scarpe: carta riciclata,"Sneakers realizzate dalle bottiglie di plastica riciclate ideali per qualsiasi stagione. Rosa con inserto bianco. Tomaia tinta con coloranti ad acqua, effetto vintage. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 3 cm. Imballaggio ecologico.  100% Made in Italy.",Privato,"<79,99€"
"Sneakers Chiara Elisa bianca, vegane ecologiche",94.99,https://www.privatoeco.com//products/sneakers-chiara-elisa-bianca-vegane-ecologiche,donna,Sneakers,SCEB6,36 - 42,bianca,Tomaia: 56% TPU 44 %% A BASE DI CO-BIO ≥ 60% (Realizzato con energia pulita)Baffetto: 42% PES riciclato 58% PU senza DMFFodera: cotone naturaleSuola: gomma leggera - colore crema altezza 3cmEtichetta: carta riciclataScatola: carta riciclata,"Sneakers realizzate in Fibra di mais, un materiale sostenibile ottenuto dal recupero degli scarti della produzione del mais. Bianche con inserto nero. Fodera in 100% cotone naturale traspirante ed assorbente. Suola extra light in TR riciclato (pre-consumo),altezza 3 cm. Imballaggio ecologico. 100% Made in Italy .",Privato,"80–99,99€"
