Nome Scarpa,Genere,Categoria,URL,Taglie,Prezzo,Range taglie,Colore
Sneaker Jor White,Donna,Sneakers,[https://www.altrotipo.it/sneaker-jor-white/](https://www.altrotipo.it/sneaker-jor-white/),"36, 37, 38, 41, 42, 43",88.1,36-43,Bianco
Stivaletto Chelsea Charlotte Black,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-chelsea-charlotte-black/](https://www.altrotipo.it/stivaletto-chelsea-charlotte-black/),"36, 38, 39",117.49,36-39,Nero
Sneaker Cheatah Total Black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-total-black/](https://www.altrotipo.it/sneaker-cheatah-total-black/),"38, 39, 40, 41, 43",106.33,38-43,Nero
Sandali Iris Apple Leather Arancione,Donna,Sandali,[https://www.altrotipo.it/sandali-iris-apple-leather-arancione/](https://www.altrotipo.it/sandali-iris-apple-leather-arancione/),"36, 37, 38, 39, 40, 41",99.53,36-41,Arancione
Sandalo Iris Apple Leather Nero,Donna,Sandali,[https://www.altrotipo.it/sandalo-iris-apple-leather-nero/](https://www.altrotipo.it/sandalo-iris-apple-leather-nero/),"37, 38, 41",76.96,37-41,Nero
Sandalo Daphne Pinatex,Donna,Sandali,[https://www.altrotipo.it/sandalo-daphne-pinatex/](https://www.altrotipo.it/sandalo-daphne-pinatex/),"36, 37, 38, 39, 40",76.96,36-40,blu
Sandalo Magnolia Pinatex,Donna,Sandali,[https://www.altrotipo.it/sandalo-magnolia-pinatex/](https://www.altrotipo.it/sandalo-magnolia-pinatex/),"37, 38, 39, 40",71.96,37-40,giallo
Scarpa Trekking Approach Black,Donna,Scarpe,[https://www.altrotipo.it/scarpa-trekking-approach-black/](https://www.altrotipo.it/scarpa-trekking-approach-black/),"41, 42",113.17,41-42,Nero
Elysa Sandalo Vegan Black Scamosciato,Donna,Sandali,[https://www.altrotipo.it/elysa-sandalo-vegan-black-scamosciato/](https://www.altrotipo.it/elysa-sandalo-vegan-black-scamosciato/),"37, 39, 40, 41, 44",99.66,37-44,Nero
Elysa Sandalo Vegan Rosa Antico,Donna,Sandali,[https://www.altrotipo.it/elysa-sandalo-vegan-rosa-antico/](https://www.altrotipo.it/elysa-sandalo-vegan-rosa-antico/),"36, 38, 39, 40, 41",105.11,36-41,Rosa
Elysa Sandalo Vegan,Donna,Sandali,[https://www.altrotipo.it/elysa-sandalo-vegan/](https://www.altrotipo.it/elysa-sandalo-vegan/),"36, 39, 40, 41",70.05,36-41,viola
Ballerina Dragonfly Nero,Donna,Ballerine,[https://www.altrotipo.it/ballerina-dragonfly-nero/](https://www.altrotipo.it/ballerina-dragonfly-nero/),"37, 40",118.47,37-40,Nero
Stivaletti Ankle Snake,Donna,Altro,[https://www.altrotipo.it/stivaletti-ankle-snake/](https://www.altrotipo.it/stivaletti-ankle-snake/),38,111.45,38-38,nero
Chelsea Boot Zip Black,Donna,Stivaletti,[https://www.altrotipo.it/chelsea-boot-zip-black/](https://www.altrotipo.it/chelsea-boot-zip-black/),"35, 38",79.83,35-38,Nero
Stivaletto Dock Tan,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-dock-tan/](https://www.altrotipo.it/stivaletto-dock-tan/),"40, 41, 42, 43",78.27,40-43,nero
Stivaletto Quarter Black,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-quarter-black/](https://www.altrotipo.it/stivaletto-quarter-black/),"36, 37, 38, 39, 41, 42",78.35,36-42,Nero
Kalahari Black,Donna,Altro,[https://www.altrotipo.it/kalahari-black/](https://www.altrotipo.it/kalahari-black/),"37, 38, 39, 42, 43",84.52,37-43,Nero
Sneaker Cheatah Dark Grey,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-dark-grey/](https://www.altrotipo.it/sneaker-cheatah-dark-grey/),"37, 38, 41, 43",95.76,37-43,Grigio
Sneaker Cheatah Pinatex Black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-pinatex-black/](https://www.altrotipo.it/sneaker-cheatah-pinatex-black/),"37, 38, 39, 40, 41, 42",91.03,37-42,Nero
Etna Boot Camel,Donna,Stivaletti,[https://www.altrotipo.it/etna-boot-camel/](https://www.altrotipo.it/etna-boot-camel/),"36, 37, 38, 39, 40",83.85,36-40,nero
Sneaker Ocean Unisex Blue,Donna,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-blue/](https://www.altrotipo.it/sneaker-ocean-unisex-blue/),"38, 40",100.2,38-40,Blu
Sneaker Ocean Unisex Red,Donna,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-red/](https://www.altrotipo.it/sneaker-ocean-unisex-red/),37,76.11,37-37,Rosso
Sneaker Ocean Unisex Black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-ocean-unisex-black/](https://www.altrotipo.it/sneaker-ocean-unisex-black/),"36, 37, 38, 39",83.9,36-39,Nero
Sneaker Jor Black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-jor-black/](https://www.altrotipo.it/sneaker-jor-black/),"37, 38, 39, 41, 43",87.68,37-43,Nero
Stivaletto Seta Brown,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-seta-brown/](https://www.altrotipo.it/stivaletto-seta-brown/),39,92.26,39-39,Marrone
Slip On Eco Nero,Donna,Sneakers,[https://www.altrotipo.it/slip-on-eco-nero/](https://www.altrotipo.it/slip-on-eco-nero/),"37, 38, 40, 41, 43",109.04,37-43,Nero
Slip On Eco Granchio,Donna,Sneakers,[https://www.altrotipo.it/slip-on-eco-granchio/](https://www.altrotipo.it/slip-on-eco-granchio/),"36, 37, 39, 43, 44",79.18,36-44,nero
Slip On Eco Beige,Donna,Sneakers,[https://www.altrotipo.it/slip-on-eco-beige/](https://www.altrotipo.it/slip-on-eco-beige/),"37, 39, 42, 43, 44",95.23,37-44,Beige
Sneaker eco NW102,Donna,Sneakers,[https://www.altrotipo.it/sneaker-eco-nw102/](https://www.altrotipo.it/sneaker-eco-nw102/),"35, 36, 37, 38, 39, 40, 41, 42",99.21,35-42,nero
Sneaker Eco NW102 Nero,Donna,Sneakers,[https://www.altrotipo.it/sneaker-eco-nw102-nero/](https://www.altrotipo.it/sneaker-eco-nw102-nero/),"39, 40, 41, 43, 44",71.37,39-44,Nero
Sneaker Eco NW102,Donna,Sneakers,[https://www.altrotipo.it/sneaker-eco-nw102/](https://www.altrotipo.it/sneaker-eco-nw102/),"35, 36, 37, 38, 39, 40, 41, 42",99.98,35-42,nero
Tropic Sandalo Vegan Beige,Donna,Sandali,[https://www.altrotipo.it/tropic-sandalo-vegan-beige/](https://www.altrotipo.it/tropic-sandalo-vegan-beige/),"36, 37, 39, 40, 41",77.7,36-41,Beige
Tropic Sandalo Vegan Red,Donna,Sandali,[https://www.altrotipo.it/tropic-sandalo-vegan-red/](https://www.altrotipo.it/tropic-sandalo-vegan-red/),"36, 39, 40",72.32,36-40,Rosso
Sandali Due Cinturini,Donna,Sandali,[https://www.altrotipo.it/sandali-due-cinturini/](https://www.altrotipo.it/sandali-due-cinturini/),"36, 37, 38, 39, 40",117.39,36-40,nero
Dorothy Grey,Donna,Altro,[https://www.altrotipo.it/dorothy-grey/](https://www.altrotipo.it/dorothy-grey/),40,118.25,40-40,Grigio
Sandalo Total Red,Donna,Sandali,[https://www.altrotipo.it/sandalo-total-red/](https://www.altrotipo.it/sandalo-total-red/),39,110.23,39-39,Rosso
Runner Oakes Cross,Donna,Scarpe,[https://www.altrotipo.it/runner-oakes-cross/](https://www.altrotipo.it/runner-oakes-cross/),"36, 38, 40, 42, 43, 45, 46",84.54,36-46,nero
Scarpa Pythagoras Black,Donna,Scarpe,[https://www.altrotipo.it/scarpa-pythagoras-black/](https://www.altrotipo.it/scarpa-pythagoras-black/),"37, 38, 41, 43, 44",73.98,37-44,Nero
Sneaker Sidd Black Shanty,Donna,Sneakers,[https://www.altrotipo.it/sneaker-sidd-black-shanty/](https://www.altrotipo.it/sneaker-sidd-black-shanty/),"36, 37, 41, 43, 44",103.9,36-44,Nero
Sneaker Diogenes Green,Donna,Sneakers,[https://www.altrotipo.it/sneaker-diogenes-green/](https://www.altrotipo.it/sneaker-diogenes-green/),"36, 37, 38",91.45,36-38,Verde
Sneaker Cuvier Marine,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cuvier-marine/](https://www.altrotipo.it/sneaker-cuvier-marine/),"37, 38, 40, 43, 44",75.22,37-44,nero
Anfibio Aviator Dark Brown,Donna,Anfibi,[https://www.altrotipo.it/anfibio-aviator-dark-brown/](https://www.altrotipo.it/anfibio-aviator-dark-brown/),"37, 41, 42, 43",94.25,37-43,Marrone
Chelsea Boot Smoot Black,Donna,Stivaletti,[https://www.altrotipo.it/chelsea-boot-smoot-black/](https://www.altrotipo.it/chelsea-boot-smoot-black/),"37, 38, 39, 42, 43",70.75,37-43,Nero
Snugge Boot Black,Donna,Stivaletti,[https://www.altrotipo.it/snugge-boot-black/](https://www.altrotipo.it/snugge-boot-black/),"37, 38, 40, 42",115.38,37-42,Nero
Biker Boots Black,Donna,Anfibi,[https://www.altrotipo.it/biker-boots-black/](https://www.altrotipo.it/biker-boots-black/),"36, 37, 38, 40, 41, 42",82.2,36-42,Nero
Scarpina Jungla Verde,Donna,Scarpe,[https://www.altrotipo.it/scarpina-jungla-verde/](https://www.altrotipo.it/scarpina-jungla-verde/),"36, 39, 41",102.79,36-41,nero
Scarpina Jungla Marrone,Donna,Scarpe,[https://www.altrotipo.it/scarpina-jungla-marrone/](https://www.altrotipo.it/scarpina-jungla-marrone/),"36, 37, 38, 41",84.9,36-41,Marrone
Scarpina Jungla Rosso,Donna,Scarpe,[https://www.altrotipo.it/scarpina-jungla-rosso/](https://www.altrotipo.it/scarpina-jungla-rosso/),"37, 39, 40, 41",95.52,37-41,nero
Scarpina Jungla Blu,Donna,Scarpe,[https://www.altrotipo.it/scarpina-jungla-blu/](https://www.altrotipo.it/scarpina-jungla-blu/),"37, 38",96.88,37-38,nero
Sneaker eco Ganges black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-eco-ganges-black/](https://www.altrotipo.it/sneaker-eco-ganges-black/),"37, 39, 42, 44",78.43,37-44,Nero
Etna Boot Black,Donna,Stivaletti,[https://www.altrotipo.it/etna-boot-black/](https://www.altrotipo.it/etna-boot-black/),"36, 37, 38, 39",118.45,36-39,Nero
Stivaletto Alba Nero,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-alba-nero/](https://www.altrotipo.it/stivaletto-alba-nero/),"37, 38, 39, 43",108.53,37-43,Nero
Anfibio Combat Boot,Donna,Anfibi,[https://www.altrotipo.it/anfibio-combat-boot/](https://www.altrotipo.it/anfibio-combat-boot/),"38, 39, 40, 43",116.91,38-43,nero
Scarpina Simone,Donna,Scarpe,[https://www.altrotipo.it/scarpina-simone/](https://www.altrotipo.it/scarpina-simone/),"36, 37, 40",114.64,36-40,nero
Sneaker Kennedy black,Donna,Sneakers,[https://www.altrotipo.it/sneaker-kennedy-black/](https://www.altrotipo.it/sneaker-kennedy-black/),"40, 42, 44",99.49,40-44,Nero
Scarpa Airseal 3 Eye,Donna,Scarpe,[https://www.altrotipo.it/scarpa-airseal-3-eye/](https://www.altrotipo.it/scarpa-airseal-3-eye/),"36, 37, 38, 42, 44",116.02,36-44,nero
Stivaletto 5401T brown,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-5401t-brown/](https://www.altrotipo.it/stivaletto-5401t-brown/),"37, 40, 41, 42, 43",73.51,37-43,Marrone
Stivaletto 5401T black,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-5401t-black/](https://www.altrotipo.it/stivaletto-5401t-black/),"36, 37, 40, 41, 43",79.0,36-43,Nero
Stivaletto Nido Khaki,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-nido-khaki/](https://www.altrotipo.it/stivaletto-nido-khaki/),"38, 39, 40, 41, 43, 44",71.31,38-44,nero
Stivaletto Emily,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-emily/](https://www.altrotipo.it/stivaletto-emily/),"37, 39, 41",85.59,37-41,nero
Stivaletto Luce nero,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-luce-nero/](https://www.altrotipo.it/stivaletto-luce-nero/),"36, 40, 41, 43, 44",88.82,36-44,Nero
Stivaletto Bline nero,Donna,Stivaletti,[https://www.altrotipo.it/stivaletto-bline-nero/](https://www.altrotipo.it/stivaletto-bline-nero/),"37, 39, 43",82.84,37-43,Nero
Anfibio Airseal Boulder Black,Donna,Anfibi,[https://www.altrotipo.it/anfibio-airseal-boulder-black/](https://www.altrotipo.it/anfibio-airseal-boulder-black/),"37, 38, 39, 40, 42, 43, 46",111.27,37-46,Nero
Scarpa trekking Approach Mid marrone,Donna,Scarpe,[https://www.altrotipo.it/scarpa-trekking-approach-mid-marrone/](https://www.altrotipo.it/scarpa-trekking-approach-mid-marrone/),"36, 38, 42, 43, 45",87.19,36-45,Marrone
Scarpetta 5326T Aqua marrone,Donna,Altro,[https://www.altrotipo.it/scarpetta-5326t-aqua-marrone/](https://www.altrotipo.it/scarpetta-5326t-aqua-marrone/),"36, 37, 40, 42, 43, 44",83.33,36-44,Marrone
Scarponcino Retread marrone,Donna,Stivaletti,[https://www.altrotipo.it/scarponcino-retread-marrone/](https://www.altrotipo.it/scarponcino-retread-marrone/),"36, 45, 47",96.68,36-47,Marrone
Sneaker Cheatah Blu,Donna,Sneakers,[https://www.altrotipo.it/sneaker-cheatah-blu/](https://www.altrotipo.it/sneaker-cheatah-blu/),"37, 38, 39, 40, 41, 42, 43, 44, 45",76.19,37-45,nero
Biker basso ecu nero,Donna,Anfibi,[https://www.altrotipo.it/biker-basso-ecu-nero/](https://www.altrotipo.it/biker-basso-ecu-nero/),"36, 37, 38, 40, 42, 44",109.91,36-44,Nero
